=== 2026-09-21 필터 통계 ===
  수집               519건
  중복 제거            6건
  지역 제외            255건
  상태 제외            0건
  고용형태 제외          59건
  경력구분 제외          46건
  제외어              4건
  키워드 미매칭          10건
  링크없음 제외          0건
  트랙A 매칭           0건
  트랙B 매칭           1건
  트랙C 매칭           0건
----------------------------------------
[KRID][서울특별시] 구로구시설관리공단 | 2026년 17차 직원(체험형 인턴) 채용 공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 인턴
[KRID][인천광역시] 인천광역시제물포구시설관리공단 | 2026년도 제3회 체험형 청년인턴 채용공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 청년인턴
[MOEF][충북,경북] 국립공원공단 | [속리산] 속리산국립공원사무소 한시인력(탐방안내, 환경관리) 직원 채용 | 경비.청소,이용.숙박.여행.오락.스포츠 | 신입+경력 | 비정규직 | 지역외: 충북,경북
[MOEF][대전] 한국토지주택공사 | 한국토지주택공사 대전충남지역본부 기간제근로자 채용공고 | 경영.회계.사무,사회복지.종교,영업판매 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][서울] 예금보험공사 | 예금보험공사 업무지원직원(무기계약직·무기계약직(보훈) 및 육아휴직대체) 채용 안내 | 경영.회계.사무 | 신입 | 무기계약직,비정규직 | 경력구분 제외: 신입 단독
[MOEF][인천] 극지연구소 | 2026년 하반기 극지연구소 연수생 채용 공고 | 연구 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][인천] 극지연구소 | 2026년 하반기 연수연구원(박사후 및 석사후) 채용 공고문 | 연구 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 한국보훈복지의료공단 | [원주보훈요양원] 2026년 제2차 체험형 청년인턴(장애인)(재공고) 채용 | 사회복지.종교 | 신입 | 청년인턴(체험형) | 지역외: 강원
[MOEF][서울,대전,충남] 한국조폐공사 | 2027년도 한국조폐공사 신입직원(채용형인턴) 채용공고 | 사업관리,경영.회계.사무,문화.예술.디자인.방송,영업판매,기계,화학,전기.전자,정보통신,인쇄.목재.가구.공예,환경.에너지.안전,농림어업,연구 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][전북] 한국식품산업클러스터진흥원 | 한국식품산업클러스터진흥원 2026년 제4차 직원(정규직, 계약직) 채용 공고 | 사업관리,경영.회계.사무,교육.자연.사회과학,운전.운송,건설,기계,화학,식품가공,환경.에너지.안전 | 신입+경력 | 정규직,무기계약직,비정규직 | 지역외: 전북
[MOEF][세종] 한국항로표지기술원 | 한국항로표지기술원 기간제 계약직(연구원) 채용 공고 | 사업관리,정보통신 | 신입 | 비정규직 | 지역외: 세종
[MOEF][대구,인천,대전] 근로복지공단 | [근로복지공단 소속병원] 의료직 채용 공고 | 보건.의료 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][인천] 근로복지공단 | [인천병원] 별정직 의사(내과 또는 가정의학과) 채용 공고 | 보건.의료 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][대전,세종,충남] 한전KDN | 한전KDN(주) 대전충남본부 AMI분야 작업원(장애인) 추가 모집공고 | 전기.전자,정보통신 | 신입+경력 | 비정규직 | 지역외: 대전,세종,충남
[MOEF][강원] 근로복지공단 | [태백병원] 기간제 의사(응급실전담의) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 강원
[MOEF][강원] 근로복지공단 | [태백병원] 공무직(시설미화원) 채용 공고 | 보건.의료,경비.청소 | 신입 | 무기계약직 | 지역외: 강원
[MOEF][울산] 근로복지공단 | [울산병원] 의료직(약사) 3급 채용 공고 | 보건.의료 | 경력 | 정규직 | 지역외: 울산
