=== 2026-09-23 필터 통계 ===
  수집               522건
  중복 제거            3건
  지역 제외            268건
  상태 제외            0건
  고용형태 제외          51건
  경력구분 제외          55건
  제외어              6건
  키워드 미매칭          1건
  링크없음 제외          0건
  트랙A 매칭           0건
  트랙B 매칭           0건
  트랙C 매칭           0건
----------------------------------------
[KRID][서울특별시] 구로구시설관리공단 | 2026년 17차 직원(체험형 인턴) 채용 공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 인턴
[KRID][인천광역시] 인천광역시제물포구시설관리공단 | 2026년도 제3회 체험형 청년인턴 채용공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 청년인턴
[MOEF][대전] 한국연구재단 | 한국연구재단 PM(기초연구본부장) 초빙 재공고 | 사업관리 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][대구] 경북대학교병원 | 칠곡경북대학교병원 2026년 9월 5차 임시직원 채용공고(물리치료사, 간호사, 주차, 조경 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 대구
[MOEF][대전] 대한적십자사 | [대한적십자사 대전세종지사] 2026년도 2차 육아휴직 대체인력(계약직) 채용 공고 | 경영.회계.사무 | 신입 | 비정규직 | 지역외: 대전
[MOEF][대구] 한국보훈복지의료공단 | [대구보훈병원] 정규직 보건직(임상병리사) 채용 공고 | 보건.의료 | 신입+경력 | 정규직 | 지역외: 대구
[MOEF][서울] 한국수출입은행 | 한국수출입은행 2026년 하반기 KSP/EIPP연구원(별정직원) 채용 | 사업관리 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][전남광주] 국립공원공단 | [다도해해상]2026년 다도해해상 한시인력[탐방로예약제 운영] 직원 채용 추가접수 재공고 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][전남광주] 국립공원공단 | [다도해해상]2026년 다도해해상 한시인력[환경관리(환경미화)] 직원 채용(3차) 추가접수 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][세종] 한국환경연구원 | [한국환경연구원] 임시직(일반행정) 채용 공고(경영지원실 대체인력)(0922) | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][세종] 축산물품질평가원 | 2026년 하반기 운영직(사무일반) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 무기계약직 | 지역외: 세종
[MOEF][전남광주] 한국농촌경제연구원 | 한국농촌경제연구원 2026년 제8차(재공모) 청년인턴(장애인 제한경쟁) 채용 공고 | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 지역외: 전남광주
[MOEF][서울] 대한적십자사 | 2026년도 제10차 혈액관리본부 소속기관 의무직 신규채용 공고(중앙혈액검사센터) | 보건.의료 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][세종,충북,전북] 한국전력공사 | 2026년도 제2차 4(나)직급 전문인력 채용공고 | 건설,기계,전기.전자,환경.에너지.안전 | 경력 | 정규직 | 지역외: 세종,충북,전북,전남광주
[MOEF][충남] 주택관리공단(주) | 육아휴직 대체직 채용공고(주택관리공단 대전충남지사) | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][경남] 경상국립대학교병원 | 간호직 채용공고 | 보건.의료 | 신입+경력 | 정규직 | 지역외: 경남
[MOEF][대구] 한국교육학술정보원 | 2026년 제6차 직원(청년인턴(장애·보훈 제한경쟁)) 채용 | 경영.회계.사무,교육.자연.사회과학,연구 | 신입 | 비정규직,청년인턴(체험형) | 지역외: 대구
[MOEF][세종] 한국조세재정연구원 | [한국조세재정연구원] 공공기관연구센터 소장 초빙 | 사업관리,연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][대구] 한국교육학술정보원 | 2026년 제6차 직원(무기계약직-운영직) 채용 | 경비.청소 | 신입 | 무기계약직 | 지역외: 대구
[MOEF][대구] 한국교육학술정보원 | 2026년 제6차 직원(정규직) 채용 | 경영.회계.사무,교육.자연.사회과학,정보통신,연구 | 신입 | 정규직 | 지역외: 대구
[MOEF][충남] 한전KPS(주) | 한전KPS(주)당진사업처 단기노무원 채용(계측제어2부 9,10호기 계측제어설비 경상정비용역 | 전기.전자 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][강원] 근로복지공단 | [동해병원] 기간제 의사(응급실전담의) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 강원
[MOEF][강원] 근로복지공단 | [동해병원] 기간제 의사(산부인과) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 강원
[MOEF][강원] 근로복지공단 | [동해병원] 기간제 의사(재활의학과 전문의) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 강원
[MOEF][충남] 한전KPS(주) | 한전KPS(주)당진사업처 단기노무원 채용(기술부 #6OH 계측제어설비 계획예방정비공사) | 기계,전기.전자 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][강원] 근로복지공단 | [태백병원] 공무직(전기기계통신기사-기계분야) 채용 공고 | 보건.의료,기계 | 신입 | 무기계약직 | 지역외: 강원
[MOEF][부산] 기술보증기금 | 기술보증기금 사무지원인력 채용공고 (기업구조혁신부) | 금융.보험 | 신입 | 비정규직 | 지역외: 부산
[MOEF][서울] 기술보증기금 | 기술보증기금 사무지원인력 채용공고 (가산지점) | 금융.보험 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][서울,부산,대구] 한국전력공사 | 2026년도 하반기 보훈 채용공고 | 경영.회계.사무,전기.전자,정보통신 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 대한석탄공사 | 2026년 한시적계약직 특별채용 재공고(팀장급) | 경영.회계.사무,환경.에너지.안전 | 경력 | 비정규직 | 지역외: 강원
[MOEF][세종] KDI국제정책대학원 | [KDI국제정책대학원] 2026년 제10차 인턴직원 채용(경영기획) | 경영.회계.사무 | 신입+경력 | 청년인턴(체험형) | 지역외: 세종
[MOEF][경북] 국립공원공단 | [주왕산] 2026년도 주왕산국립공원 한시인력(탐방해설) 직원 추가 채용 공고 | 이용.숙박.여행.오락.스포츠 | 신입+경력 | 비정규직 | 지역외: 경북
