=== 2026-09-25 필터 통계 ===
  수집               529건
  중복 제거            1건
  지역 제외            243건
  상태 제외            0건
  고용형태 제외          48건
  경력구분 제외          54건
  제외어              6건
  키워드 미매칭          0건
  링크없음 제외          0건
  트랙A 매칭           0건
  트랙B 매칭           0건
  트랙C 매칭           0건
----------------------------------------
[KRID][서울특별시] 구로구시설관리공단 | 2026년 17차 직원(체험형 인턴) 채용 공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 인턴
[KRID][인천광역시] 인천광역시제물포구시설관리공단 | 2026년도 제3회 체험형 청년인턴 채용공고 | 경영·회계·사무 | 인턴 | 모집중 | 제외어: 청년인턴
[MOEF][충북,경북] 국립공원공단 | [속리산] 속리산국립공원사무소 기간제(탐방해설) 직원 채용 재공고 | 이용.숙박.여행.오락.스포츠 | 신입+경력 | 비정규직 | 지역외: 충북,경북
[MOEF][대전] 한국등산·트레킹지원센터 | 2026년도 한국등산트레킹지원센터 기간제근로자(보훈 제한경쟁) 채용 재공고 | 경영.회계.사무 | 신입 | 비정규직 | 지역외: 대전
[MOEF][경남] 한국산업기술시험원 | 2026년 한국산업기술시험원 위촉직(운전기사) 공개모집(재공고) | 운전.운송 | 신입 | 비정규직 | 지역외: 경남
[MOEF][경북] 한국전력공사 | 2026년 제4차 기간제 근로자 채용 공고[경북본부] | 경영.회계.사무,전기.전자 | 신입 | 비정규직 | 지역외: 경북
[MOEF][세종] 산업연구원 | 2026년 제14차 위촉직원 채용공고(휴직대체) | 연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][강원] 국립공원공단 | [설악산] 설악산국립공원 기간제 직원[환경관리(한시인력)] 채용 공고 | 경비.청소,이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][경기] 분당서울대학교병원 | 2027년도 정신건강임상심리사(수련) 채용공고(장애인우대) | 보건.의료 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][경기] 분당서울대학교병원 | 2027년도 임상연수사회복지사 채용공고(장애인우대) | 보건.의료 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][경기] 분당서울대학교병원 | 2027년도 임상연수영양사 채용공고(장애인우대) | 보건.의료 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][경기] 분당서울대학교병원 | 2027년도 전공약사(레지던트약사) 채용공고(장애인우대) | 보건.의료 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][대전] 한국원자력안전기술원 | 한국원자력안전기술원 공모직전문위원 채용 | 경영.회계.사무,연구 | 경력 | 비정규직 | 지역외: 대전
[MOEF][대구] 경북대학교병원 | 2026년 9월 제4차 임시직원 모집 공고(간호, 행정, 응급구조사, 물품판매) | 보건.의료 | 신입 | 비정규직 | 지역외: 대구
[MOEF][강원] 국립공원공단 | [설악산] 설악산국립공원 기간제 직원[탐방해설, 탐방시설, 환경관리, 탐방안전] 채용 공고 | 경비.청소,이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][전남광주] 전남대학교병원 | 2026년 진료전담의사 상시 공개채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 전남광주
[MOEF][세종] 건축공간연구원 | 건축공간연구원 위촉직 모집 | 연구 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][강원] 국립공원공단 | [설악산] 설악산국립공원 기간제 직원[환경관리(한시인력)] 채용 추가접수 공고 | 경비.청소,이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][강원] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(기술팀 차량순시) 채용공고(30차) | 건설,전기.전자 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][충북,전남광주] 한국에너지공단 | 한국에너지공단 공무직 채용 공고 | 경비.청소,전기.전자 | 신입+경력 | 무기계약직 | 지역외: 충북,전남광주
[MOEF][세종] 한국교통연구원 | 2026년 PAO 인턴 채용공고 | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 지역외: 세종
[MOEF][경남] 경상국립대학교병원 | [창원경상국립대학교병원] 약무직 채용 공고 | 보건.의료 | 신입+경력 | 정규직 | 지역외: 경남
[MOEF][서울,대전,충북] 한국철도공사 | 2026년 하반기 한국철도공사 신입사원(관제분야) 채용 공고	 | 경영.회계.사무,운전.운송 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][경남] 경상국립대학교병원 | [창원경상국립대학교병원] 전문직1등급(촉탁의) 채용공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 경남
[MOEF][전남광주] 국립공원공단 | [내장산백암] 내장산국립공원백암사무소 한시인력(국립공원지킴이_녹색순찰대) 채용 공고 | 경비.청소,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][경남] 대한적십자사 | 대한적십자사 합천원폭피해자복지회관 직원(조리원) 채용공고 | 사회복지.종교 | 신입+경력 | 무기계약직 | 지역외: 경남
[MOEF][충남] 학교법인한국폴리텍 | 한국폴리텍특성화대학 바이오캠퍼스 업무직(대학운영직_조리원) 채용공 | 음식서비스 | 신입+경력 | 무기계약직 | 지역외: 충남
[MOEF][인천] 인천항만공사 | 2026년 하반기 인천항만공사 채용형 인턴 채용공고 | 경영.회계.사무,건설,기계,전기.전자,환경.에너지.안전 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][전남광주] 한국수자원공사 | [한국수자원공사] 전남북부권지사 단기계약근로자(사무관리_건설사업) 채용 공고 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 전남광주
