=== 2026-09-17 필터 통계 ===
  수집               578건
  중복 제거            4건
  지역 제외            298건
  상태 제외            0건
  고용형태 제외          48건
  경력구분 제외          50건
  제외어              3건
  키워드 미매칭          1건
  트랙A 매칭           0건
  트랙B 매칭           1건
----------------------------------------
[MOEF][경남] 근로복지공단 | [창원병원] 공무직(임상병리사) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 지역외: 경남
[MOEF][충남] 국립공원공단 | [태안] 2026년 태안해안 기간제[한시인력(환경관리)] 직원 채용 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][강원] 한국전력공사 | 기간제근로자(대체인력)채용공고[강원본부 횡성지사] | 전기.전자 | 신입 | 비정규직 | 지역외: 강원
[MOEF][울산,경기,충북] 한국소방산업기술원 | 2026년 한국소방산업기술원 정규직 채용 | 사업관리,법률.경찰.소방.교도.국방,기계,전기.전자,환경.에너지.안전 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원,경북] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(태백지점 송전업무정비보조,차량순시) 채용공고(27 | 건설,전기.전자,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원,경북
[MOEF][전남광주] 근로복지공단 | [순천병원] 공무직(간호조무사) 채용 공고 | 보건.의료 | 신입 | 무기계약직 | 지역외: 전남광주
[MOEF][충남] 한전KPS(주) | 한전KPS(주) 신보령사업소 '26년도 경상정비공사 구매보조 단기노무원 모집 | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 충남
[MOEF][강원] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(기술팀 차량순시) 채용공고(26차) | 건설,전기.전자 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][강원] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(강릉지점 차량순시) 채용공고(25차) | 건설,전기.전자 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][경북] 국립공원공단 | [경주] 2026년 경주국립공원 기간제(분묘조사) 직원 채용 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 경북
